Id#,Producto,Descripción Detallada,Beneficios / Usos Principales,Palabras Clave / Síntomas (Qué buscaría el cliente),Proveedor,Especificación,Cantidad, Precio 
10001,Óxido Nítrico (Prowinner),"Suplemento en polvo (pre-entreno) con Arginina, Citrulina y Carnitina. Actúa como precursor del óxido nítrico, un vasodilatador.","Mejora el flujo sanguíneo y la oxigenación muscular. Aumenta la energía, el rendimiento deportivo y la """"bomba"""" (congestión) muscular.","Quiero rendir más en el gym, Pre-entreno, Fatiga muscular, Mala circulación, Bomba para ejercicio, Vasodilatador",Prowinner,"Citrulina, Arginina, Carnitina",600g, $300.00 
10002,Vitamix Kids (GN+VIDA),"Multivitamínico líquido en formato de ampolletas bebibles, diseñado para niños y adolescentes.","Complementa la nutrición diaria, apoya el crecimiento y desarrollo, fortalece el sistema inmunológico y ayuda a combatir la falta de apetito.","Vitaminas para niños, Mi hijo no come bien, Falta de apetito, Reforzar defensas niños, Crecimiento",GN+VIDA,adolescentes y niñas Solución Ingerible,10 ampolletas de 10 ml, $300.00 
10003,Uña Maravilla Quita Hongos (KJ Beauty),Esmalte de tratamiento tópico transparente. Formulado para combatir infecciones fúngicas en las uñas.,Elimina eficazmente los hongos de las uñas (onicomicosis) de pies y manos. Ayuda a restaurar la apariencia saludable de la uña.,"Hongos en las uñas, Onicomicosis, Uñas amarillas, Tratamiento para hongos, Pie de atleta",KJ Beauty,Quita Hongos,15 ml, $300.00 
10004,Uña Super Poderosa (KJ Beauty),Esmalte de tratamiento fortalecedor. Formulado para reparar y endurecer uñas dañadas.,"Endurece las uñas, previene que se rompan, quiebren o descarapelen. Promueve un crecimiento más fuerte y saludable.","Uñas débiles, Uñas quebradizas, Se me rompen las uñas, Fortalecedor de uñas, Uñas delgadas",KJ Beauty,tratamiento fortalecedor de uñas,15 ml, $300.00 
10005,Endurecedor de uñas (Prosa),Esmalte fortalecedor de uñas enriquecido con extracto de Ajo y Calcio.,Endurece y fortalece las uñas débiles. El ajo aporta propiedades antisépticas y el calcio refuerza la estructura de la uña.,"Uñas débiles, Endurecedor con ajo, Uñas quebradizas, Crecimiento de uñas, Tratamiento con calcio",Prosa,con ajo y calcio,15 ml, $300.00 
10006,Crema Contorno de Ojos 4 en 1 (PROSA),Crema ligera formulada específicamente para la piel delicada alrededor de los ojos.,"Ayuda a disminuir la apariencia de ojeras oscuras, reduce bolsas (hinchazón), atenúa líneas finas (""""patas de gallo"""") e hidrata.","Ojeras, Bolsas en los ojos, Patas de gallo, Ojos hinchados, Arrugas en los ojos, Contorno de ojos",#N/A,#N/A,#N/A, $300.00 
10007,Aceite Desmaquillante (PROSA),"Desmaquillante líquido (a menudo bifásico) con una mezcla de aceites, como el """"4 en 1"""".","Disuelve y retira eficazmente el maquillaje a prueba de agua (rímel, delineador) sin frotar excesivamente.","Desmaquillante, Quitar rímel a prueba de agua, Limpieza facial, No me puedo quitar el maquillaje",PROSA,4 en 1,15 ml, $300.00 
10008,Mascara para Pestañas (PROSA),"Rímel (máscara de pestañas). Vienen en varias presentaciones (Profesional, Maxi-Volumen, Silicón, 4 Aceites).","(Todas):"""" Alargan, dan volumen y definen las pestañas. """"(Específicas):"""" • """"4 Aceites:"""" Famosa por nutrir y fortalecer las pestañas, ayudando a su crecimiento (con hueso de mamey, jojoba, etc.).• """"Maxi-Volumen:"""" Da grosor y apariencia de más pestañas.• """"Profesional:"""" Define y alarga con un acabado más natural.","Rímel, Crecimiento de pestañas (para 4 Aceites), Pestañas débiles, Pestañas con volumen, Pestañas largas, Maquillaje de ojos, Rímel que no baje las pestañas",PROSA,Profesional efecto alargador,13g, $300.00 
10009,Hongo Michoacano (Fuerza y vida),"Suplemento líquido (jarabe o tónico) con Vitamina C. El """"Hongo Michoacano"""" (Ganoderma) es conocido como Reishi.","Fortalece el sistema inmunológico, combate la fatiga crónica. Usado como adaptógeno para manejar el estrés.","Defensas bajas, Cansancio, Fatiga, Estrés, Quiero reforzar mi sistema inmune, Reishi, Ganoderma",Fuerza y vida,Vitamina C,1000 ml, $300.00 
10010,Aloe Vera (Prosa),"Bebida (jugo) bebible de Sábila (Aloe Vera) en presentación de 1 Litro, con sabores tropical y mango.","Ayuda a la digestión, cicatriza internamente. Útil para aliviar gastritis, colitis, acidez e indigestión.","Gastritis, Colitis, Acidez, Reflujo, Mala digestión, Sábila para tomar, Jugo de Aloe",Prosa,Sabor tropical,1 Litro, $300.00 
